Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.484,A,7,2.5,3,0.5,0.519,0.04666904755831218,-0.03500000000000003
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.473,A,5,2,1.5,-0.5,0.5525,0.004949747468305837,-0.07950000000000002
5_Pocillopora_sp_Floreana,5_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.473,A,5,2,1.5,-0.5,0.5525,0.004949747468305837,-0.07950000000000002
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.41,A,3,2.5,2,-0.5,0.5235000000000001,0.02616295090390228,-0.1135000000000001
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.41,A,3,2.5,2,-0.5,0.5235000000000001,0.02616295090390228,-0.1135000000000001
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.466,A,4,3,3,0,0.513,0,-0.046999999999999986
4_Pavona_clavus_Floreana,4_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,12,Cold,0.466,A,4,3,3,0,0.513,0,-0.046999999999999986
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.551,A,3,3.5,3.5,0,0.589,0.05374011537017758,-0.03799999999999992
3_Pocillopora_sp_Floreana,3_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,12,Cold,0.551,A,3,3.5,3.5,0,0.589,0.05374011537017758,-0.03799999999999992
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.486,B,7,3,3,0,0.519,0.04666904755831218,-0.03300000000000003
7_Pavona_clavus_Floreana,7_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.486,B,7,3,3,0,0.519,0.04666904755831218,-0.03300000000000003
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.531,B,6,5.5,5.5,0,0.5275000000000001,0.004949747468305837,0.0034999999999999476
6_Pavona_clavus_Floreana,6_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.531,B,6,5.5,5.5,0,0.5275000000000001,0.004949747468305837,0.0034999999999999476
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.569,B,2,3,2.5,-0.5,0.5745,0.00777817459305203,-0.00550000000000006
2_Pocillopora_sp_Floreana,2_Pocillopora_sp_Floreana_Cold,Floreana,Pocillopora_sp,26,Cold,0.569,B,2,3,2.5,-0.5,0.5745,0.00777817459305203,-0.00550000000000006
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.505,B,3,3.5,3.5,0,0.5235000000000001,0.02616295090390228,-0.018500000000000072
3_Pavona_clavus_Floreana,3_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.505,B,3,3.5,3.5,0,0.5235000000000001,0.02616295090390228,-0.018500000000000072
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.516,B,8,5.5,5.5,0,0.528,0.016970562748477157,-0.01200000000000001
8_Pavona_clavus_Floreana,8_Pavona_clavus_Floreana_Cold,Floreana,Pavona_clavus,26,Cold,0.516,B,8,5.5,5.5,0,0.528,0.016970562748477157,-0.01200000000000001
