Genobysite,Genobysiteramp,Site,Species,Treatment,RampType,PAM,Replicate,Geno,Color_1,Color_2,ColorChange,avg_26_bygeno,sd_26_bygeno,PAMChange
2_Pavona_clavus_Espanola,2_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.435,A,2,5.5,4,-1.5,0.4835,7.071067811865482e-4,-0.04849999999999999
5_Pavona_clavus_Espanola,5_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,35.5,Heat,0.403,A,5,1,1,0,0.533,0.01131370849898477,-0.13
7_Pocillopora_sp_Espanola,7_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.597,A,7,5,1,-4,0.5885,0.0035355339059327407,0.008499999999999952
3_Pocillopora_sp_Espanola,3_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,35.5,Heat,0.393,A,3,4,3.5,-0.5,0.538,0.009899494936611674,-0.14500000000000002
5_Pocillopora_sp_Espanola,5_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,26,Heat,0.538,B,5,4.5,4,-0.5,0.5505,0.017677669529663625,-0.012499999999999956
1_Pocillopora_sp_Espanola,1_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,26,Heat,0.583,B,1,3,2.5,-0.5,0.58,0.004242640687119289,0.0030000000000000027
3_Pavona_clavus_Espanola,3_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,26,Heat,0.515,B,3,5,5,0,0.5075000000000001,0.010606601717798222,0.007499999999999951
5_Pavona_clavus_Espanola,5_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,26,Heat,0.541,B,5,2,2,0,0.533,0.01131370849898477,0.008000000000000007
7_Pavona_clavus_Espanola,7_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,26,Heat,0.468,B,7,5,4.5,-0.5,0.49050000000000005,0.03181980515339463,-0.02250000000000002
6_Pocillopora_sp_Espanola,6_Pocillopora_sp_Espanola_Heat,Espanola,Pocillopora_sp,26,Heat,0.589,B,6,5,4.5,-0.5,0.5665,0.03181980515339459,0.022499999999999964
2_Pavona_clavus_Espanola,2_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,26,Heat,0.483,B,2,3.5,3.5,0,0.4835,7.071067811865482e-4,-5.000000000000004e-4
4_Pavona_clavus_Espanola,4_Pavona_clavus_Espanola_Heat,Espanola,Pavona_clavus,26,Heat,0.485,B,4,3,3,0,0.489,0.005656854249492385,-0.0040000000000000036
