Site,Species,Treatment,PAM,Replicate,Geno,Color_1,Color_2,ColorChange
Isabela,Pavona_clavus,26,0.569,A,7,5.5,5.5,0
Isabela,Pocillopora_sp,26,0.607,A,6,4,3,-1
Isabela,Pocillopora_sp,26,0.583,A,2,3.5,2.5,-1
Isabela,Pocillopora_sp,26,0.576,A,8,4,3,-1
Isabela,Pavona_clavus,26,0.546,A,4,4,5,1
Isabela,Pocillopora_sp,26,0.454,A,3,3,3,0
Isabela,Pavona_clavus,26,0.551,A,6,4,3,-1
Isabela,Pavona_clavus,26,0.551,A,1,5.5,4.5,-1
Isabela,Pavona_clavus,26,0.547,A,5,4,3.5,-0.5
Isabela,Pocillopora_sp,20,0.596,A,3,3,2.5,-0.5
Isabela,Pocillopora_sp,20,0.594,A,8,4,3,-1
Isabela,Pocillopora_sp,20,0.579,A,1,2.5,3,0.5
Isabela,Pavona_clavus,20,0.5,A,6,3.5,4,0.5
Isabela,Pocillopora_sp,20,0.43,A,2,2.5,3,0.5
Isabela,Pavona_clavus,20,0.54,A,2,6,6,0
Isabela,Pavona_clavus,20,0.55,A,4,4,4,0
Isabela,Pavona_clavus,20,0.531,A,7,6,5,-1
Isabela,Pocillopora_sp,20,0.578,A,6,3.5,3,-0.5
Isabela,Pocillopora_sp,20,0.54,A,5,3,3,0
Isabela,Pavona_clavus,20,0.546,A,3,4,4,0
Isabela,Pavona_clavus,20,0.562,A,8,4,4,0
Isabela,Pavona_clavus,20,0.544,A,5,4.5,4.5,0
Isabela,Pocillopora_sp,20,0.581,A,4,2.5,3,0.5
Isabela,Pocillopora_sp,20,0.425,A,7,4,3,-1
Isabela,Pavona_clavus,20,0.509,A,1,5.5,5.5,0
Isabela,Pavona_clavus,16,0.534,A,4,4,3.5,-0.5
